timestamp,humidity_pct,temperature_c,efield_vm,contact_voltage_v,movement_g,activity,environment,fabric_type,risk_score,risk_label
2024-01-01 00:00:00.000,50.39,24.02,506.1,119.06,0.117,sitting,lab,cotton,0.2527,0
2024-01-01 00:00:00.020,50.38,24.02,505.71,118.85,0.117,walking,outdoor,cotton,0.2486,0
2024-01-01 00:00:00.040,50.35,24.03,504.67,118.43,0.116,handling_electronics,outdoor,cotton,0.2221,0
2024-01-01 00:00:00.060,50.31,24.03,502.73,117.79,0.114,running,lab,polyester,0.2218,0
2024-01-01 00:00:00.080,50.26,24.04,499.87,116.97,0.113,sitting,lab,cotton,0.2377,0
2024-01-01 00:00:00.100,50.2,24.05,496.45,116.13,0.111,sitting,office,synthetic,0.2235,0
2024-01-01 00:00:00.120,50.13,24.05,493.19,115.53,0.11,walking,outdoor,synthetic,0.2278,0
2024-01-01 00:00:00.140,50.06,24.06,490.91,115.45,0.109,running,office,wool,0.2553,0
2024-01-01 00:00:00.160,49.98,24.07,490.19,116.04,0.109,sitting,outdoor,synthetic,0.221,0
2024-01-01 00:00:00.180,49.9,24.08,491.24,117.21,0.11,sitting,outdoor,synthetic,0.274,0
2024-01-01 00:00:00.200,49.81,24.09,493.9,118.57,0.111,handling_electronics,lab,polyester,0.2399,0
2024-01-01 00:00:00.220,49.73,24.1,497.79,119.64,0.112,walking,outdoor,polyester,0.2373,0
2024-01-01 00:00:00.240,49.65,24.1,502.46,120.04,0.112,handling_electronics,office,synthetic,0.277,0
2024-01-01 00:00:00.260,49.58,24.1,507.48,119.69,0.112,sitting,home,polyester,0.2497,0
2024-01-01 00:00:00.280,49.51,24.1,512.23,118.81,0.111,sitting,outdoor,polyester,0.2241,0
2024-01-01 00:00:00.300,49.45,24.1,515.88,117.8,0.108,handling_electronics,lab,synthetic,0.2206,0
2024-01-01 00:00:00.320,49.4,24.1,517.56,117.07,0.105,sitting,lab,synthetic,0.2289,0
2024-01-01 00:00:00.340,49.35,24.09,516.6,116.88,0.1,running,lab,polyester,0.2739,0
2024-01-01 00:00:00.360,49.31,24.09,512.95,117.32,0.096,walking,outdoor,synthetic,0.2192,0
2024-01-01 00:00:00.380,49.29,24.08,507.23,118.36,0.091,sitting,outdoor,synthetic,0.2673,0
